id,collect_case_id,order_id,can_recall_time,collect_status,collect_amount,repaid_amount,repaid_time,create_time,update_time,collector_id,collect_time,contact_relation,contact_status,repay_willingness,remark,remark-update_time,remark-create_time
1151725,556b7641-4819-4a33-a6f8-936959a318e2,GC_d3701860-7add-48d3-aef8-354caa7f44df,12/3/2021 0:00,15,0,0,,11/29/2021 5:23,12/3/2021 1:01,1.46528e+18,12/2/2021 17:04,1.0,11.0,5.0,Se le mando WhatsApp,12/2/2021 17:04,12/2/2021 17:04
1080349,dd897b91-f7b7-4ff5-8d43-d692284f3c2d,GC_c559c010-f7d6-4fa5-a5df-db72dc9c3ee0,11/26/2021 0:00,15,0,0,,11/25/2021 5:58,11/25/2021 7:58,,,,,,,,
1172179,6dc7f327-cea2-4464-aba0-88841b9b3398,GC_3abd3239-296e-409c-8f3e-2c091d461085,12/4/2021 0:00,15,0,0,,11/30/2021 6:55,12/4/2021 1:01,1.46566e+18,11/30/2021 13:36,11.0,9.0,5.0,K,11/30/2021 13:36,11/30/2021 13:36
1108903,0ba4e576-cc53-47fe-9147-a4eceea95dc0,GC_bfd38367-2458-4f67-97d7-d9763240e346,11/30/2021 0:00,15,0,0,,11/27/2021 1:47,11/30/2021 1:01,1.46342e+18,11/27/2021 12:07,1.0,9.0,5.0,Mand茅 WhatsApp,11/27/2021 12:07,11/27/2021 12:07
1107070,d4976e39-c799-4f8c-9485-5ed39219ea58,GC_cfa68360-c858-4b07-ad17-4863f1edf971,11/28/2021 0:00,15,0,0,,11/27/2021 1:43,11/28/2021 1:03,1.46279e+18,11/27/2021 15:31,1.0,3.0,5.0,No contesta llamada y mensajes,11/27/2021 15:31,11/27/2021 15:31
1166470,1d356ab6-70fd-425f-a6ef-04b5cf0f4b37,GC_07358fc7-d43f-4f00-b446-7fc857df016e,12/4/2021 0:00,15,0,0,,11/30/2021 1:51,12/4/2021 1:01,1.46528e+18,11/30/2021 17:56,1.0,3.0,5.0,. ,11/30/2021 17:56,11/30/2021 17:56
1166384,9c83138c-2bd6-4572-ac4b-445e20257c6c,GC_a3df6bf2-13e1-4978-90a6-1a64a09060dd,12/4/2021 0:00,15,0,0,,11/30/2021 1:51,12/4/2021 1:01,1.46528e+18,11/30/2021 10:17,1.0,3.0,5.0,Desv铆a las llamadas ,11/30/2021 10:17,11/30/2021 10:17
1104130,35850ee2-223f-4d24-ab9b-f292de90e54d,GC_5cfc3bf6-b9f2-4b24-8951-bd620a8c7d99,11/28/2021 0:00,15,0,0,,11/27/2021 1:39,11/28/2021 1:02,1.46051e+18,11/27/2021 13:47,1.0,3.0,5.0,No contesta,11/27/2021 13:47,11/27/2021 13:47
1115577,e95f0e70-9cc2-483f-814f-5ad32f5fd051,GC_9eaa3d89-17e5-4c8e-8a60-1b474550505c,11/30/2021 0:00,15,0,0,,11/27/2021 9:17,11/30/2021 1:02,1.46461e+18,11/27/2021 15:23,1.0,3.0,5.0,No responde ,11/27/2021 15:23,11/27/2021 15:23
1090251,ffa78a8b-959d-4c90-ae37-5ad1df2bc170,GC_7b703b17-97f7-4ebd-b64f-fee98ae1df3c,11/29/2021 0:00,15,0,0,,11/26/2021 1:47,11/29/2021 1:01,1.46308e+18,11/28/2021 11:25,1.0,9.0,5.0,"Se le env铆o WP, en espera de respuesta",11/28/2021 11:25,11/28/2021 11:25
1090630,abcc1e5a-7c76-4ef6-9489-0f5da8866793,GC_7037598d-4b59-4a46-97af-704025dcda38,11/29/2021 0:00,15,0,0,,11/26/2021 1:47,11/29/2021 1:01,1.46342e+18,11/28/2021 10:05,1.0,3.0,5.0,No responde ,11/28/2021 10:05,11/28/2021 10:05
1166487,04616637-e71a-4dcf-9c87-b3f20069fe9b,GC_41e78086-d356-44e8-bc74-dc9718f25500,12/4/2021 0:00,15,0,0,,11/30/2021 1:51,12/4/2021 1:01,1.46528e+18,12/3/2021 16:35,1.0,3.0,5.0,Buz贸n ,12/3/2021 16:35,12/3/2021 16:35
1068920,24c4856c-8144-4a4d-bf76-08e1eb6e81cc,GC_51fdae71-ea1e-4567-99f3-3243ef38658c,11/26/2021 0:00,15,0,0,,11/25/2021 1:39,11/26/2021 1:02,,,,,,,,
1047860,2edb83ea-88fb-467b-be56-7c8d8326c2b5,GC_6c43f383-a4ec-44c4-802f-55b5d3f2bcae,11/25/2021 0:00,15,0,0,,11/24/2021 1:35,11/25/2021 1:02,1.46051e+18,11/24/2021 13:22,1.0,3.0,5.0,Manda a buz贸n de voz,11/24/2021 13:22,11/24/2021 13:22
1241649,686bed84-3cd6-4bc4-aa5f-ec3b3a74d061,GC_f1f9d87b-1f4b-4014-ac83-8eba321efe6b,12/12/2021 0:00,5,0,0,,12/4/2021 1:43,12/4/2021 1:43,,,,,,,,
1207675,ddae487e-209c-491d-9cb3-4090d6548b71,GC_bd207eb5-f3c0-4109-99fb-7d5fee06249e,12/6/2021 0:00,5,0,0,,12/2/2021 1:51,12/2/2021 1:51,1.46566e+18,12/2/2021 10:01,11.0,9.0,5.0,K,12/2/2021 10:01,12/2/2021 10:01
1126147,656858c1-174d-4bb3-9cd7-31f8c0e98aca,GC_012fdd58-b8fb-4193-a513-d4b290d6d98f,12/1/2021 0:00,15,0,0,,11/28/2021 1:47,12/1/2021 1:01,1.46163e+18,11/28/2021 10:09,1.0,9.0,5.0,Env铆e whatsapp ,11/28/2021 10:09,11/28/2021 10:09
1160864,dc99940e-02c2-497f-acdc-f74426cc9307,GC_001c5eb3-c571-48a9-8e4f-d0af8ccec301,12/1/2021 0:00,15,0,0,,11/30/2021 1:43,12/1/2021 1:03,,,,,,,,
1088739,1d0cb718-58a5-4874-acc8-419deced3003,GC_e2fa9593-292f-425f-aed4-97922f3816a7,11/27/2021 0:00,15,0,0,,11/26/2021 1:43,11/27/2021 1:03,1.46308e+18,11/26/2021 12:32,1.0,1.0,1.0,Nc,11/26/2021 12:32,11/26/2021 12:32
1108973,80609544-5d72-4006-96b0-4a874c8e56fc,GC_2679fc16-9832-4602-a5b1-c0160659a3ec,11/30/2021 0:00,15,0,0,,11/27/2021 1:47,11/30/2021 1:01,1.46417e+18,11/28/2021 11:38,1.0,10.0,5.0,NO CUENTA CON WHATSAPP ,11/28/2021 11:38,11/28/2021 11:38
1089126,c61c7dab-ff78-4740-8578-71b6e203698c,GC_ab35a8e6-cac8-4fe8-be32-98b90f713a97,11/27/2021 0:00,15,0,0,,11/26/2021 1:43,11/27/2021 1:03,1.46308e+18,11/26/2021 9:53,1.0,9.0,5.0,Nc,11/26/2021 9:53,11/26/2021 9:53
1163176,40cba9e0-3acf-414c-9040-b2019a447aa1,GC_d9c65b37-353e-4aa6-8d38-7e038af44209,12/1/2021 0:00,15,0,0,,11/30/2021 1:47,12/1/2021 1:03,1.46051e+18,11/30/2021 11:33,1.0,3.0,5.0,nc,11/30/2021 11:33,11/30/2021 11:33
1090251,ffa78a8b-959d-4c90-ae37-5ad1df2bc170,GC_7b703b17-97f7-4ebd-b64f-fee98ae1df3c,11/29/2021 0:00,15,0,0,,11/26/2021 1:47,11/29/2021 1:01,1.46308e+18,11/26/2021 15:46,1.0,3.0,5.0,Buz贸n de voz ,11/26/2021 15:46,11/26/2021 15:46
1183803,39728cec-2f60-411e-b54a-342585e53e96,GC_d2c60076-ffb5-4d96-be24-c0c1b0c31e2a,12/2/2021 0:00,15,0,0,,12/1/2021 1:47,12/1/2021 7:13,,,,,,,,
1108718,3ad45dc4-1b4a-4416-bc96-adb520b8dc5d,GC_c80c6e7a-01e5-4353-8731-1e0ee2f4a68e,11/30/2021 0:00,15,0,0,,11/27/2021 1:47,11/30/2021 1:01,1.46163e+18,11/29/2021 10:54,1.0,9.0,5.0,No responde,11/29/2021 10:54,11/29/2021 10:54
1052799,35b9b752-6626-4b87-83b3-dfaed90dbd05,GC_d9c5b3fa-5619-4ca3-898f-3765d231072a,11/25/2021 0:00,15,0,0,,11/24/2021 1:39,11/25/2021 1:03,1.46242e+18,11/24/2021 10:12,1.0,9.0,5.0,Sms,11/24/2021 10:12,11/24/2021 10:12
1187340,5f705d01-0949-46cb-a8ab-d2ae5fdeb2a9,GC_f5bcdbb3-1564-4af1-b1e4-1c774de27473,12/5/2021 0:00,15,0,0,,12/1/2021 1:51,12/5/2021 1:01,1.46528e+18,12/4/2021 13:23,1.0,3.0,5.0,No responde ,12/4/2021 13:23,12/4/2021 13:23
1089199,0aadeff1-6762-4dc1-9c87-215117e090a8,GC_cc6eccf1-338a-4799-824a-e670ae3c561b,11/27/2021 0:00,15,0,0,,11/26/2021 1:43,11/27/2021 1:03,1.46377e+18,11/26/2021 9:35,1.0,9.0,5.0,Whatsapp ,11/26/2021 9:35,11/26/2021 9:35
1108453,7e24e950-2a61-41e6-99d6-1f45d40d432a,GC_829f8937-04bf-4c5c-bc9d-291852302f03,11/30/2021 0:00,15,0,0,,11/27/2021 1:47,11/30/2021 1:01,1.46417e+18,11/29/2021 12:33,1.0,3.0,5.0,Buz贸n,11/29/2021 12:33,11/29/2021 12:33
